Appliance,Probability of ownership by individual,Probability of ownership by household,Measured Typical Power Consumption,Guess at standard deviationof power consumption,Starting at Midnight (0),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Fridge,0.05,1,50,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Desktop Computer,0.1,0.25,150,60,0.1,0.05,0.01,0.01,0.01,0.01,0.3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.9,0.99,1,1,1,0.7,0.2
Laptop Charger,0.7,0.1,30,2,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.05,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
3d Printer,0,0.008,55,4,0.32,0.31,0.3,0.25,0.2,0.15,0.2,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.35,0.34
Microwave ,0,1,700,120,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.01,0.03,0.01,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001
Aircon,0.01,0.5,1000,500,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.004,0.008,0.016,0.032,0.064,0.128,0.128,0.064,0.032,0.008,0.004,0.002,0.001,0.001
TV,0.15,0.7,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modem,0,0.99,1,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NBN Fiber Box,0,0.8,0.5,0.00001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Light (Living Room),0,1,11,4,0.02,0.02,0.02,0.02,0.02,0.02,1,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.3,0.1
Light (Kitchen),0,1,22,8,0.02,0.02,0.02,0.02,0.02,0.02,1,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.3,0.1
Floor Lamp,0.02,0.15,11,4,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.15,0.05
Light (Bedroom),1,0,11,4,0.001,0.001,0.001,0.001,0.001,0.001,1,0.1,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.1,0.8,0.3
Light (Bathroom),0.2,1,11,4,0.001,0.001,0.001,0.001,0.001,0.001,1,0.1,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.1,0.8,0.3
Phone Charger,0.9,0,12,0.1,0.5,0.4,0.001,0.001,0.001,0.001,0.06,0.055,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.8,1
Soldering Iron,0,0.05,23,50,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
Solar Panel,0,0.21,-750,100,0.000000003037941425,0.00000005384880021,0.0000007433597574,0.000007991870553,0.00006691511288,0.0004363413475,0.002215924206,0.008764150247,0.02699548326,0.06475879783,0.1209853623,0.1760326634,0.1994711402,0.1760326634,0.1209853623,0.06475879783,0.02699548326,0.008764150247,0.002215924206,0.0004363413475,0.00006691511288,0.000007991870553,0.0000007433597574,0.00000005384880021
